video_id,title,channel,views,likes,comments
fTKqtvXjkvo,Top Hits 2025 ~ Summer Playlist 2025 ~ Top Songs 2025 Trending Music 🎶🎧,Revive Music,14086915,35594,2375
6wmDlk-7aMk,YLL LIMANI - LARG (Official Music Video),Yll Limani,17332393,37046,554
jpZC476jE7c,"Jahman X-press - ARVA feat. Souleymane Faye, Soda Mama & Kine Lam (clip officiel)",Jahman X-Press,21792622,195070,9446
rVOGafFvse4,SADEWOK FEAT.  AJENG FEBRIA - PELAMPIASAN 2 (OFFICIAL LIVE MUSIC VIDEO) | DC PRODUCTION,DC. PRODUCTION,36022,1917,142
tFBi9Vk1QLw,A Sweet and cute Brother and Sister Performance #music  #folksouls  #80smusic  #song  #love,Echoes of Silence,195063,2472,16
YcpMVsvK8pk,Madison Beer - bittersweet (Official Music Video),MadisonBeerMusicVEVO,433853,57847,2835
4Ubn51w6Ino,SWEETNOTES Nonstop 2025✨Romantic OPM Top Hits 2025 With Lyrics💃New OPM Top Hits Playlist 2025,Sweetnotes Music,7892402,27774,644
16whabTqSkA,New OPM Trending 2025 Playlist ️💗Best Of Wish 107.5 Song Playlist 2025 - OPM Tagalog Love Songs,OPM Wish 2025,7983706,26094,534
7CGKeID7nRc,GIMS & La Mano 1.9 - PARISIENNE (Clip officiel),GIMS,35594037,252934,8771
8SYPKQMW_2Q,"Lyrical | Tum Ho Toh Song | Saiyaara | Ahaan, Aneet | Vishal Mishra, Hansika Pareek | Raj Shekhar",YRF,44930112,203748,2817
fdcmtALDUak,DINDA TERATU FEAT DELVA IRAWAN - PELAMPIASAN 2 ( Official Live Video Royal Music ),RC Music,15844,1304,180
3ihtcnPwkqI,Acoustic songs 2025 🌸 Music 2025 new songs with lyrics that last through love,Acoustic Radio,1323614,5237,99
vGmQrRVEvJ8,Fouad Jned x Bessan Ismail x Amjad Jomaa - 3lash (Official Music Video) | علاش,Fouad Jned,59318737,680234,83870
Ug_pv5-r1js,“What It Sounds Like” Song Clip | KPop Demon Hunters | Netflix Family,Netflix Family,215643559,992137,0
nWjpA4Nbpe8,Top OPM Songs Philippines 2025 🎧 Saranggola - Ben & Ben | Best Tagalog Hits on Spotify & YouTube,Midnight Tears,2032965,11663,249
OGv_GjyPdu4,Ibiza Summer Mix 2025 🍓 Best Of Tropical Deep House Music Chill Out Mix 2024 🍓 Chillout Lounge,Magic Club,5131,3406,2
RGW5nMfZpp4,Ethiopian Music : Eyu Tsega እዩ ፀጋ (ከማን ጋር ላወዳድርሽ) - New Ethiopian Music 2025(Official Video),Minew Shewa Tube,7883631,36788,1670
Iv6wS4oiiys,Ballerina cappuccina italian brainrot music song video #brainrot #music #video #cappuccina #song,Value Pig Music,461799,3411,20
ogWztLP-_10,🎧 // MONTAGEM COMA [ SLOWED ] (BRAZILIAN PHONK 🥶🥵💀,phonk_music,3185118,45934,552
cFjTcxZTZJg,Sunnatillo Do'stov - Alyonushka | Суннатилло Дустов - Алёнушка,RizaNovaUZ,38340606,87141,3623
